open_time,open,high,low,close,volume,buy_volume,sell_volume,volume_delta,cvd,open_interest,Trigger,Volatility
2025-09-30 20:20:00,114152.3,114438.3,114152.3,114292.2,774.978,337.418,437.56,-100.142,-100.142,,False,0.0
2025-09-30 20:35:00,114292.2,114429.8,114242.8,114353.9,775.203,430.02200000000005,345.181,84.84100000000007,-15.30099999999993,,False,0.0
2025-09-30 20:50:00,114353.8,114720.0,114289.0,114693.4,2298.954,1456.702,842.2520000000001,614.4499999999999,599.149,,False,0.0
2025-09-30 21:05:00,114693.4,114695.4,114321.0,114332.3,1428.205,601.452,826.753,-225.30100000000004,373.848,,False,0.0
2025-09-30 21:20:00,114332.2,114437.8,114141.6,114156.9,908.808,289.75,619.058,-329.308,44.53999999999999,,False,0.0
2025-09-30 21:35:00,114156.9,114469.4,114156.9,114292.3,1147.138,590.467,556.671,33.79599999999999,78.33599999999998,,False,0.0
2025-09-30 21:50:00,114292.3,114320.8,114071.7,114259.8,915.001,353.925,561.076,-207.15099999999998,-128.815,,False,0.0
2025-09-30 22:05:00,114259.8,114272.0,114061.5,114070.8,784.504,353.50800000000004,430.996,-77.48799999999996,-206.303,,False,0.0
2025-09-30 22:20:00,114070.7,114086.3,113860.8,113876.8,1496.326,617.443,878.883,-261.44000000000005,-467.74300000000005,,False,0.0
2025-09-30 22:35:00,113876.7,113952.8,113825.0,113952.7,763.4,351.547,411.853,-60.305999999999955,-528.049,,False,0.0
2025-09-30 22:50:00,113952.8,113979.6,113710.2,113759.2,797.6469999999999,367.372,430.27500000000003,-62.90300000000002,-590.952,,False,0.0
2025-09-30 23:05:00,113759.3,113836.5,113710.0,113710.0,841.232,367.405,473.827,-106.42199999999998,-697.374,,False,0.0
2025-09-30 23:20:00,113710.0,113965.8,113710.0,113786.5,838.516,458.976,379.53999999999996,79.43600000000006,-617.938,,False,0.0
2025-09-30 23:35:00,113786.6,113924.1,113786.5,113905.0,404.463,187.839,216.62399999999997,-28.785000000000014,-646.723,,False,0.0
2025-09-30 23:50:00,113905.0,114166.8,113890.2,114166.8,955.814,599.208,356.606,242.60200000000003,-404.121,,False,0.0
2025-10-01 00:05:00,114166.8,114246.0,114041.4,114097.0,1162.891,526.307,636.584,-110.27699999999993,-514.3979999999999,,False,0.0
2025-10-01 00:20:00,114097.1,114172.1,113899.4,114160.3,977.9,378.375,599.5250000000001,-221.15,-735.548,,False,0.0
2025-10-01 00:35:00,114160.4,114178.1,113906.4,113975.5,512.8679999999999,212.119,300.749,-88.63,-824.178,,False,0.0
2025-10-01 00:50:00,113975.4,114198.0,113975.4,114193.5,556.1610000000001,327.11199999999997,229.04900000000004,98.06299999999992,-726.115,,False,0.0
2025-10-01 01:05:00,114193.5,114373.0,114168.0,114203.3,1345.176,669.25,675.9259999999999,-6.675999999999988,-732.7909999999999,,False,0.0
2025-10-01 01:20:00,114203.3,114331.5,114138.5,114166.2,640.813,266.827,373.986,-107.15899999999999,-839.9499999999999,,False,0.0
2025-10-01 01:35:00,114166.2,114440.0,114159.1,114358.1,1001.552,429.651,571.9010000000001,-142.25000000000006,-982.2,,False,0.0
2025-10-01 01:50:00,114358.1,114498.0,114293.7,114465.5,913.324,432.955,480.369,-47.41399999999999,-1029.614,,False,0.0
2025-10-01 02:05:00,114465.4,114493.9,114354.8,114393.8,509.337,196.68200000000002,312.655,-115.973,-1145.587,,False,0.0
2025-10-01 02:20:00,114393.8,114409.1,114237.8,114369.5,442.99,147.706,295.284,-147.578,-1293.165,,False,0.0
2025-10-01 02:35:00,114369.5,114387.1,114249.3,114312.4,925.804,420.561,505.243,-84.68200000000003,-1377.8470000000002,,False,0.0
2025-10-01 02:50:00,114312.5,114324.0,114139.4,114185.5,780.511,334.565,445.9460000000001,-111.38100000000007,-1489.228,,False,0.0
2025-10-01 03:05:00,114185.5,114423.9,114184.1,114407.7,1212.041,711.723,500.318,211.40500000000003,-1277.823,,False,0.0
2025-10-01 03:20:00,114407.7,114481.2,114283.5,114460.0,1595.857,915.066,680.7909999999999,234.27500000000003,-1043.548,,False,0.0
2025-10-01 03:35:00,114460.1,114480.0,114084.4,114084.4,1536.164,560.251,975.913,-415.662,-1459.21,,False,0.0
2025-10-01 03:50:00,114084.5,114327.4,114038.7,114249.9,1591.612,825.148,766.464,58.68399999999998,-1400.5260000000003,,False,0.0
2025-10-01 04:05:00,114249.9,114471.2,114249.9,114459.5,926.471,549.673,376.798,172.87500000000006,-1227.6510000000003,,False,0.0
2025-10-01 04:20:00,114459.5,114669.0,114340.0,114462.8,1794.971,1014.298,780.673,233.6249999999999,-994.0260000000004,,False,0.0
2025-10-01 04:35:00,114462.8,114660.1,114450.0,114528.9,1144.888,592.8199999999999,552.068,40.75199999999995,-953.2740000000006,,False,0.0
2025-10-01 04:50:00,114528.8,114528.9,114184.4,114253.8,2071.69,574.082,1497.6079999999997,-923.5259999999998,-1876.8000000000004,,False,0.0
2025-10-01 05:05:00,114253.9,114700.0,114253.8,114661.1,1840.8290000000002,1122.108,718.721,403.387,-1473.4130000000005,,False,0.0
