open_time,open,high,low,close,volume,buy_volume,sell_volume,volume_delta,cvd,Trigger,Max_Pct
2025-09-30 20:15:00,114204.59,114501.99,114204.59,114387.29,94.03529,73.23388,20.801410000000004,52.432469999999995,52.43247,False,0.0
2025-09-30 20:30:00,114387.29,114405.47,114307.01,114307.51,41.74991,17.69043,24.05948,-6.36905,46.06342,False,0.0
2025-09-30 20:45:00,114307.52,114723.57,114307.51,114626.36,231.05088999999998,119.53332,111.51756999999999,8.015750000000025,54.07917000000002,False,0.0
2025-09-30 21:00:00,114626.36,114754.87,114379.1,114386.13,248.15618999999998,148.66324,99.49295000000001,49.17029,103.24946000000004,False,0.0
2025-09-30 21:15:00,114386.14,114534.68,114292.0,114292.18,104.99205,34.6145,70.37755,-35.76305,67.48641000000003,False,0.0
2025-09-30 21:30:00,114292.17,114531.97,114206.56,114372.93,180.63606,89.42679,91.20927,-1.7824799999999996,65.70393000000004,False,0.0
2025-09-30 21:45:00,114372.93,114372.93,114136.5,114161.0,115.68316,49.409639999999996,66.27352,-16.86388000000001,48.84005000000003,False,0.0
2025-09-30 22:00:00,114161.0,114356.98,114120.19,114130.31,133.03402,41.20127,91.83275,-50.63148000000001,-1.7914299999999788,False,0.0
2025-09-30 22:15:00,114130.32,114174.35,113963.77,113995.99,97.24001,24.34752,72.89249000000001,-48.544970000000006,-50.33639999999998,False,0.0
2025-09-30 22:30:00,113996.0,114034.37,113883.01,113923.59,63.88545,23.97363,39.91182,-15.938190000000004,-66.27458999999999,False,0.0
2025-09-30 22:45:00,113923.6,114022.91,113917.14,113940.39,54.77512,30.24081,24.53431,5.706499999999998,-60.56809,False,0.0
2025-09-30 23:00:00,113940.4,113940.8,113765.42,113839.99,84.05759,33.284189999999995,50.77340000000001,-17.489210000000007,-78.0573,False,0.0
2025-09-30 23:15:00,113839.99,114022.88,113769.58,113966.17,102.08752,58.98025,43.10727,15.872980000000005,-62.18431999999999,False,0.0
