trade_id,direction,entry_time,exit_time,entry_price,exit_price,position_size,pnl,pnl_pct,fees_paid,exit_reason,duration_candles,trigger_prob,imminence,direction_confidence
0,SHORT,2025-10-17 07:05:00,2025-10-17 10:20:00,106246.67427,103590.50741325,0.4729689691441692,1221.3597910088442,2.4305000000000017,34.92470910311237,TP,39,0.8543489575386047,0.5536016225814819,1.0
1,SHORT,2025-11-21 09:50:00,2025-11-21 11:05:00,82099.7892,83126.036565,0.5032294266459623,-545.4616815533075,-1.3202500000000037,29.023808467426427,SL,15,0.8608055710792542,0.5846028923988342,1.0
2,SHORT,2025-12-01 00:30:00,2025-12-01 04:25:00,87914.40768,85716.547488,0.48373068861457114,1033.6162307632162,2.4305000000000088,29.55619339150104,TP,47,0.8004633188247681,0.6043133735656738,0.9999998807907104
