open_time,open,high,low,close,volume,buy_volume,sell_volume,volume_delta,cvd,open_interest
2025-09-30 20:20:00,114152.3,114438.3,114152.3,114380.2,410.303,184.323,225.98,-41.65699999999998,-41.65699999999998,
2025-09-30 20:25:00,114380.2,114432.0,114306.6,114338.6,245.028,99.832,145.196,-45.364000000000004,-87.02099999999999,
2025-09-30 20:30:00,114338.5,114348.8,114286.8,114292.2,119.647,53.263,66.38400000000001,-13.121000000000016,-100.142,
2025-09-30 20:35:00,114292.2,114310.0,114274.7,114308.5,229.623,108.792,120.83099999999999,-12.038999999999987,-112.18099999999998,
2025-09-30 20:40:00,114308.5,114308.5,114242.8,114242.9,152.137,49.613,102.524,-52.911,-165.09199999999998,
2025-09-30 20:45:00,114242.9,114429.8,114242.8,114353.9,393.443,271.617,121.82599999999996,149.79100000000005,-15.30099999999993,
2025-09-30 20:50:00,114353.8,114669.9,114289.0,114650.4,775.072,630.507,144.56500000000005,485.9419999999999,470.64099999999996,
2025-09-30 20:55:00,114650.3,114684.7,114517.2,114569.8,656.105,200.148,455.957,-255.809,214.83199999999997,
2025-09-30 21:00:00,114569.8,114720.0,114569.8,114693.4,867.777,626.047,241.73000000000002,384.317,599.149,
2025-09-30 21:05:00,114693.4,114695.4,114646.0,114691.8,344.059,188.368,155.69100000000003,32.676999999999964,631.826,
2025-09-30 21:10:00,114689.6,114689.6,114321.0,114323.7,635.231,186.322,448.909,-262.587,369.23900000000003,
2025-09-30 21:15:00,114323.6,114490.6,114323.6,114332.3,448.915,226.762,222.15300000000002,4.6089999999999804,373.848,
2025-09-30 21:20:00,114332.2,114437.8,114279.9,114408.5,310.859,132.658,178.201,-45.543000000000006,328.305,
2025-09-30 21:25:00,114408.5,114408.6,114232.3,114235.2,195.854,40.386,155.46800000000002,-115.08200000000002,213.22299999999998,
2025-09-30 21:30:00,114235.1,114235.2,114141.6,114156.9,402.095,116.706,285.389,-168.683,44.53999999999999,
