open_time,open,high,low,close,volume,buy_volume,sell_volume,volume_delta,cvd
2025-09-30 23:00:00,113940.4,114048.94,113765.42,114048.93,268.4376,145.10047,123.33712999999997,21.763340000000028,21.763340000000028
2025-10-01 00:00:00,114048.94,114308.0,113966.67,114239.53,434.59016,212.22147,222.36869000000002,-10.147220000000004,11.616120000000024
2025-10-01 01:00:00,114239.53,114550.0,114142.99,114549.99,597.2536,294.96149,302.29211,-7.3306199999999535,4.28550000000007
2025-10-01 02:00:00,114549.99,114551.76,114272.15,114272.15,508.42422,191.12336,317.30086,-126.17750000000001,-121.89199999999994
2025-10-01 03:00:00,114272.16,114530.48,114096.58,114176.92,502.30318,275.05086,227.25232,47.79854,-74.09345999999994
2025-10-01 04:00:00,114176.93,114700.0,114151.0,114289.01,597.89328,224.52653,373.36675,-148.84022000000002,-222.93367999999995
2025-10-01 05:00:00,114289.02,114740.0,114265.63,114569.84,559.75519,309.91606,249.83912999999995,60.07693000000006,-162.8567499999999
2025-10-01 06:00:00,114569.84,114624.3,114224.88,114256.81,392.52281,130.4282,262.09461,-131.66640999999998,-294.52315999999985
2025-10-01 07:00:00,114256.82,114584.35,114236.59,114539.02,446.26236,140.95025,305.31210999999996,-164.36185999999995,-458.8850199999998
2025-10-01 08:00:00,114539.02,116591.8,114484.43,116111.28,2944.06599,1806.35109,1137.7149,668.6361900000002,209.75117000000034
2025-10-01 09:00:00,116111.27,116529.93,115950.0,116412.1,1081.73774,509.76557,571.97217,-62.20659999999998,147.54457000000036
2025-10-01 10:00:00,116412.1,116551.0,116203.5,116281.64,549.64831,271.02962,278.61869,-7.589069999999992,139.95550000000037
2025-10-01 11:00:00,116281.64,116795.85,116269.0,116789.58,642.47832,382.28054,260.1977800000001,122.0827599999999,262.03826000000026
2025-10-01 12:00:00,116789.57,116887.0,116363.38,116402.65,645.19981,265.44262,379.75719,-114.31457,147.72369000000026
2025-10-01 13:00:00,116402.65,116843.73,116399.5,116806.96,1233.59755,593.43166,640.16589,-46.734230000000025,100.98946000000024
2025-10-01 14:00:00,116806.96,117441.26,116704.74,117292.74,1631.53193,788.57212,842.9598100000001,-54.38769000000002,46.601770000000215
