trade_id,direction,entry_time,exit_time,entry_price,exit_price,position_size,pnl,pnl_pct,fees_paid,exit_reason,duration_candles,trigger_prob,imminence,direction_confidence
0,LONG,2025-10-03 16:10:00,2025-10-03 17:00:00,123112.31,121881.1869,0.310775310693856,-409.3083298454431,-1.0697999999999976,26.705665940560845,SL,10,0.6053013205528259,0.5134224891662598,0.9999997615814209
1,SHORT,2025-10-07 15:05:00,2025-10-08 10:35:00,121733.12547,122950.4567247,0.5022159251366887,-654.280834864807,-1.070199999999996,42.91769258784305,SL,234,0.8823915719985962,0.5691531300544739,0.9999998807907104
2,SHORT,2025-10-10 21:15:00,2025-10-10 21:20:00,103430.95587,104465.2654287,0.4891831304876817,-541.4856563230355,-1.070199999999999,35.51886850483754,SL,1,0.7913021445274353,0.6182001829147339,0.9941091537475586
3,SHORT,2025-10-10 21:20:00,2025-10-10 21:25:00,108462.1527,109546.774227,0.38192296305852125,-443.3216464795969,-1.070199999999996,29.079779090700637,SL,1,0.7439340949058533,0.5133827924728394,0.6629382371902466
4,SHORT,2025-10-11 21:05:00,2025-10-11 21:20:00,109578.34107000001,110674.1244807,0.44611256705437796,-523.1595113528414,-1.0701999999999947,34.316761069865116,SL,3,0.8091049790382385,0.5513654947280884,1.0
5,SHORT,2025-10-16 16:30:00,2025-10-16 16:50:00,107504.94843,108579.99791430001,0.559958704322824,-644.2425451166217,-1.070200000000005,42.259228805070684,SL,4,0.8684154748916626,0.6448050737380981,1.0
6,SHORT,2025-10-17 06:45:00,2025-10-17 08:15:00,106606.03833,104473.9175634,0.43796617856123277,901.300656282463,1.9303999999999975,32.49612809638391,TP,18,0.7075678706169128,0.6189740896224976,0.9999997615814209
7,SHORT,2025-10-17 08:15:00,2025-10-17 11:10:00,104693.22963,105740.1619263,0.3709223243560871,-415.59136615430316,-1.0702000000000012,27.260805367251027,SL,35,0.7292742729187012,0.5086184144020081,0.9999977350234985
8,LONG,2025-10-20 03:40:00,2025-10-20 06:35:00,109090.908,111272.72615999999,0.3775848613532844,794.8229903797293,1.929599999999996,28.99851706194707,TP,35,0.7490109205245972,0.5041112899780273,0.9999998807907104
9,LONG,2025-10-21 14:55:00,2025-10-21 20:15:00,112138.71275,111017.32562250001,0.3715799345134627,-445.7695652876576,-1.0697999999999983,29.084609886968167,SL,64,0.7220069766044617,0.5146486759185791,0.9999997615814209
10,LONG,2025-10-26 12:10:00,2025-10-27 06:45:00,113706.96956000001,115981.10895120002,0.38424017663288623,843.0574079705349,1.9296000000000049,30.758313391959735,TP,223,0.7282397747039795,0.5276286602020264,1.0
11,SHORT,2025-10-29 18:35:00,2025-10-29 18:50:00,109219.97691,110312.1766791,0.47443541984198134,-554.5543695757734,-1.0701999999999996,36.3761135715,SL,3,0.8608920574188232,0.5510974526405334,0.9999984502792358
12,LONG,2025-10-30 06:40:00,2025-10-30 11:15:00,110855.98448999999,109747.42464509999,0.4048638426289699,-480.14314133199616,-1.069799999999996,31.32734274160914,SL,55,0.7455306649208069,0.5430545806884766,1.0
13,SHORT,2025-11-03 04:00:00,2025-11-03 16:00:00,107537.94513,105387.18622739999,0.4150198778997378,861.5449492880495,1.9304000000000057,31.062747860779147,TP,144,0.7255374193191528,0.5720171928405762,1.0
14,SHORT,2025-11-04 05:40:00,2025-11-04 16:15:00,104875.01145,102777.51122100001,0.40336991740927175,816.6253105416671,1.9303999999999977,29.44318359599052,TP,127,0.7515657544136047,0.5367060899734497,1.0
15,SHORT,2025-11-04 16:55:00,2025-11-04 18:30:00,102217.17726,100172.8337148,0.3974068043759047,784.1632613144524,1.9303999999999975,28.272774029986508,TP,19,0.786259114742279,0.5054399967193604,1.0
16,LONG,2025-11-05 03:25:00,2025-11-05 18:35:00,102072.00618,104113.4463036,0.3399080850861047,669.4766527170914,1.9295999999999975,24.42535051372476,TP,182,0.6156012415885925,0.5521562695503235,1.0
17,LONG,2025-11-07 20:40:00,2025-11-08 00:35:00,103795.17848,102757.2266952,0.31884205581982883,-354.0424800348342,-1.069799999999996,23.09979912734298,SL,47,0.6023949980735779,0.5292906761169434,1.0
18,LONG,2025-11-09 14:25:00,2025-11-10 00:35:00,103860.385,105937.5927,0.45716272904534705,916.1952486054125,1.929599999999999,33.4266923205955,TP,122,0.7933271527290344,0.5762600302696228,1.0
19,SHORT,2025-11-12 15:50:00,2025-11-13 05:50:00,102040.7949,103061.202849,0.4464493674029022,-487.54082925328385,-1.0702000000000005,31.98034592934079,SL,168,0.7859312891960144,0.5680513978004456,1.0
20,SHORT,2025-11-13 18:30:00,2025-11-13 22:35:00,98543.94462000001,99529.38406620001,0.5366968817790507,-566.0098138702422,-1.0702000000000056,37.12753591262455,SL,49,0.8396989107131958,0.6391539573669434,1.0
21,SHORT,2025-11-14 04:30:00,2025-11-14 11:40:00,97605.2385,95653.13373,0.43999425924790003,829.0246540001292,1.9304000000000054,29.890238250315395,TP,86,0.8052292466163635,0.5464211106300354,0.9999997615814209
22,LONG,2025-11-18 08:15:00,2025-11-18 15:20:00,91064.50554,92885.7956508,0.3444894218987571,605.3301631356626,1.9296000000000086,22.085014243755417,TP,85,0.6740105152130127,0.5111039280891418,1.0
