open_time,open,high,low,close,volume,buy_volume,sell_volume,volume_delta,cvd,Trigger,Volatility
2025-09-30 20:20:00,114204.59,114501.99,114204.59,114350.1,109.27468,81.26241,28.012270000000004,53.250139999999995,53.25014,False,0.0
2025-09-30 20:35:00,114350.11,114476.67,114307.01,114408.33,66.41746,32.61504,33.80242,-1.1873799999999957,52.06276,False,0.0
2025-09-30 20:50:00,114408.32,114754.87,114356.12,114742.53,234.00664999999998,118.10376,115.90288999999999,2.200870000000023,54.26363000000002,False,0.0
2025-09-30 21:05:00,114742.53,114753.88,114379.1,114396.02,240.23249,146.46013,93.77235999999999,52.68777,106.95140000000004,False,0.0
2025-09-30 21:20:00,114396.03,114486.81,114206.56,114208.69,123.85493,22.29106,101.56387000000001,-79.27280999999999,27.67859000000004,False,0.0
2025-09-30 21:35:00,114208.7,114531.97,114208.7,114344.26,147.62185,89.58706,58.03479000000001,31.552269999999993,59.23086000000004,False,0.0
2025-09-30 21:50:00,114344.26,114371.64,114136.5,114312.44,159.55811,63.90513,95.65298000000001,-31.747850000000017,27.483010000000025,False,0.0
2025-09-30 22:05:00,114312.44,114318.52,114117.64,114117.64,94.94478000000001,33.61977,61.325010000000006,-27.705240000000003,-0.2222299999999801,False,0.0
2025-09-30 22:20:00,114117.64,114136.98,113919.33,113919.33,94.86367,19.70221,75.16146,-55.459250000000004,-55.68147999999999,False,0.0
2025-09-30 22:35:00,113919.34,113995.81,113883.01,113994.97,55.5724,28.81599,26.75641,2.0595799999999986,-53.62189999999999,False,0.0
2025-09-30 22:50:00,113994.97,114022.91,113765.42,113813.21,83.61721,28.84306,54.774150000000006,-25.931090000000005,-79.55299,False,0.0
2025-09-30 23:05:00,113813.21,113894.28,113769.58,113769.59,59.27159,22.967969999999998,36.30362,-13.335650000000005,-92.88864,False,0.0
2025-09-30 23:20:00,113769.58,114022.88,113769.58,113851.17,98.97112,63.76043,35.21069,28.549740000000007,-64.33889999999998,False,0.0
2025-09-30 23:35:00,113851.17,113981.6,113851.16,113964.71,38.87207,23.69889,15.173180000000002,8.525709999999997,-55.81318999999999,False,0.0
2025-09-30 23:50:00,113964.71,114222.95,113953.53,114211.4,79.19245,56.427130000000005,22.765319999999996,33.66181000000001,-22.15137999999997,False,0.0
2025-10-01 00:05:00,114211.41,114308.0,114105.1,114145.43,91.44634,55.955780000000004,35.49056,20.46522,-1.686159999999976,False,0.0
2025-10-01 00:20:00,114145.44,114227.99,113966.67,114210.01,141.66627,58.53837,83.12790000000001,-24.589530000000003,-26.275689999999983,False,0.0
2025-10-01 00:35:00,114210.02,114231.26,113969.18,114036.47,74.22327,21.13961,53.08366,-31.944049999999994,-58.21973999999997,False,0.0
2025-10-01 00:50:00,114036.48,114255.0,114036.47,114235.75,99.47985,53.434979999999996,46.04487,7.390109999999996,-50.82962999999998,False,0.0
2025-10-01 01:05:00,114235.75,114429.76,114230.0,114263.97,202.7393,89.66498,113.07432,-23.409339999999993,-74.23896999999998,False,0.0
2025-10-01 01:20:00,114263.97,114384.32,114207.47,114232.63,102.79834,49.85513,52.94321000000001,-3.088080000000005,-77.32704999999999,False,0.0
2025-10-01 01:35:00,114232.63,114492.22,114232.63,114417.48,154.80866,100.73527,54.07338999999999,46.66188000000001,-30.66516999999997,False,0.0
2025-10-01 01:50:00,114417.48,114551.76,114360.27,114519.39,168.13247,54.02883,114.10364,-60.07481,-90.73997999999996,False,0.0
2025-10-01 02:05:00,114519.4,114543.99,114425.22,114449.75,61.37872,21.91691,39.46181,-17.544899999999995,-108.28488,False,0.0
2025-10-01 02:20:00,114449.75,114459.98,114307.69,114417.25,69.82799,26.795659999999998,43.03233,-16.236669999999997,-124.52154999999998,False,0.0
